dealership,state,city,channel,url,source
Greenway FIAT of East Orlando,FL,Orlando,Website,https://www.fiatusaofeastorlando.com/,sheet
Greenway FIAT of East Orlando,FL,Orlando,Facebook (shared with Alfa),https://www.facebook.com/GreenwayFiatAlfaOrlando,sheet
Greenway FIAT of East Orlando,FL,Orlando,Instagram (shared with Alfa),https://www.instagram.com/greenwayitalianimports/,web-2026-08-22
Greenway FIAT of East Orlando,FL,Orlando,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Dodge Chrysler Jeep RAM,FL,Orlando,Website,https://www.greenwaychryslerjeepdodge.net/,sheet
Greenway Dodge Chrysler Jeep RAM,FL,Orlando,Facebook,https://www.facebook.com/GreenwayDodgeChryslerJeep/,sheet
Greenway Dodge Chrysler Jeep RAM,FL,Orlando,Instagram,https://www.instagram.com/greenway_dodge/,sheet
Greenway Dodge Chrysler Jeep RAM,FL,Orlando,X,https://x.com/greenway_cjdr,sheet
Greenway Dodge Chrysler Jeep RAM,FL,Orlando,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Ford Orlando,FL,Orlando,Website,https://www.greenwayford.com/,sheet
Greenway Ford Orlando,FL,Orlando,Facebook,https://www.facebook.com/GreenwayFordOrlando/,sheet
Greenway Ford Orlando,FL,Orlando,Instagram,https://www.instagram.com/greenwayfordorlando/,sheet
Greenway Ford Orlando,FL,Orlando,TikTok,https://www.tiktok.com/@greenwayfordorlando,sheet
Greenway Hyundai Orlando,FL,Orlando,Website,https://www.greenwayhyundaiorlando.com/,sheet
Greenway Hyundai Orlando,FL,Orlando,Facebook,https://www.facebook.com/GreenwayHyundaiOrlando,sheet
Greenway Hyundai Orlando,FL,Orlando,Instagram (handle A - per sheet),https://www.instagram.com/greenway_hyundai_orlando,sheet
Greenway Hyundai Orlando,FL,Orlando,Instagram (handle B - CONFLICT resolve),https://www.instagram.com/greenwayhyundaiorlando/,web-2026-08-22
Greenway Hyundai Orlando,FL,Orlando,YouTube,https://www.youtube.com/@greenwayhyundaiorlando1783,sheet
Greenway Hyundai Orlando,FL,Orlando,TikTok,NO STORE ACCOUNT - salesperson @drivewithgigi only,web-2026-08-22
Orlando Genesis,FL,Orlando,Website,https://www.genesisoforlando.com/,sheet
Orlando Genesis,FL,Orlando,Facebook,https://www.facebook.com/GreenwaysGenesisofOrlando,sheet
Orlando Genesis,FL,Orlando,Instagram (UNCONFIRMED - may be a different rooftop),https://www.instagram.com/genesisnorthorlando/,web-2026-08-22
Orlando Genesis,FL,Orlando,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia East,FL,Orlando,Website,https://www.greenwaykiaeast.com/,sheet
Greenway Kia East,FL,Orlando,Facebook,https://www.facebook.com/GreenwayKiaEast,sheet
Greenway Kia East,FL,Orlando,Instagram,https://www.instagram.com/greenway_kia_east/,sheet
Greenway Kia East,FL,Orlando,YouTube,https://www.youtube.com/channel/UCj2zNtJosbunMMB0BwV88og,sheet
Greenway Kia East,FL,Orlando,TikTok,NO ACCOUNT FOUND,web-2026-08-22
Greenway Kia West,FL,Orlando,Website,https://www.greenwaykiawest.com/,sheet
Greenway Kia West,FL,Orlando,Facebook,https://www.facebook.com/GreenwayKiaWest/,sheet
Greenway Kia West,FL,Orlando,Instagram,https://www.instagram.com/Greenway_kia_west/,sheet
Greenway Kia West,FL,Orlando,TikTok,https://www.tiktok.com/@greenwaykiawest,sheet
Greenway Kia West,FL,Orlando,YouTube,https://www.youtube.com/@GreenwayKiaWest,sheet
Greenway Kia North,FL,Longwood,Website,https://www.greenwaykianorth.com/,sheet
Greenway Kia North,FL,Longwood,Facebook,https://www.facebook.com/GreenwayKiaNorth/,sheet
Greenway Kia North,FL,Longwood,Instagram,https://www.instagram.com/greenway_kia_northorlando/,sheet
Greenway Kia North,FL,Longwood,TikTok,https://www.tiktok.com/@greenwaykianorth,sheet
Greenway Kia North,FL,Longwood,YouTube,https://www.youtube.com/@greenwaykianorthfl,sheet
Greenway Kia West Palm Beach [PILOT],FL,West Palm Beach,Website,https://www.greenwaykiawestpalmbeach.com/,sheet
Greenway Kia West Palm Beach [PILOT],FL,West Palm Beach,Facebook,https://www.facebook.com/GreenwayKiaWestPalmBeach,sheet
Greenway Kia West Palm Beach [PILOT],FL,West Palm Beach,Facebook (2nd/duplicate),https://www.facebook.com/greenwaykiawpb/,sheet
